order_item_id,order_id,product_id,quantity,price_each
1,1001,101,5,25.0
2,1001,107,2,3.0
3,1002,104,1,5.0
4,1002,107,4,3.0
5,1002,106,3,30.0
6,1003,108,1,40.0
7,1003,107,4,3.0
8,1003,101,2,25.0
9,1004,101,4,25.0
10,1004,105,4,50.0
11,1005,101,1,25.0
12,1005,106,5,30.0
13,1005,108,1,40.0
14,1005,107,4,3.0
15,1006,102,2,10.0
16,1006,105,1,50.0
17,1006,101,3,25.0
18,1007,103,5,15.0
19,1007,108,5,40.0
20,1008,101,4,25.0
21,1008,103,1,15.0
22,1009,104,5,5.0
23,1010,103,2,15.0
24,1010,101,2,25.0
25,1011,108,5,40.0
26,1011,102,3,10.0
27,1011,103,2,15.0
28,1011,106,5,30.0
29,1012,102,3,10.0
30,1013,101,5,25.0
31,1014,105,5,50.0
32,1015,104,2,5.0
33,1015,105,5,50.0
34,1016,108,2,40.0
35,1017,104,3,5.0
36,1017,106,2,30.0
37,1017,107,1,3.0
38,1017,108,3,40.0
39,1018,107,3,3.0
40,1018,108,3,40.0
41,1019,106,2,30.0
42,1019,103,2,15.0
43,1020,107,3,3.0
44,1021,105,5,50.0
45,1021,103,1,15.0
46,1021,107,5,3.0
47,1022,102,4,10.0
48,1023,105,3,50.0
49,1023,101,4,25.0
50,1024,106,5,30.0
51,1024,102,4,10.0
52,1024,105,2,50.0
53,1024,108,2,40.0
54,1025,103,4,15.0
55,1025,106,3,30.0
56,1026,107,2,3.0
57,1026,105,5,50.0
58,1026,106,1,30.0
59,1027,107,2,3.0
60,1027,102,5,10.0
61,1027,108,4,40.0
62,1027,101,3,25.0
63,1028,102,4,10.0
64,1028,104,1,5.0
65,1028,106,3,30.0
66,1028,103,1,15.0
67,1029,106,4,30.0
68,1029,103,3,15.0
69,1029,105,2,50.0
70,1029,101,2,25.0
71,1030,101,3,25.0
72,1030,104,2,5.0
73,1030,107,2,3.0
74,1031,101,4,25.0
75,1031,106,5,30.0
76,1031,108,4,40.0
77,1032,101,3,25.0
78,1032,108,4,40.0
79,1032,104,2,5.0
80,1033,101,2,25.0
81,1033,106,2,30.0
82,1033,105,1,50.0
83,1034,102,4,10.0
84,1035,107,5,3.0
85,1035,103,3,15.0
86,1035,101,4,25.0
87,1036,108,1,40.0
88,1036,101,2,25.0
89,1037,107,1,3.0
90,1037,104,2,5.0
91,1037,106,2,30.0
92,1038,103,2,15.0
93,1038,102,2,10.0
94,1038,105,1,50.0
95,1039,108,1,40.0
96,1039,102,4,10.0
97,1039,104,5,5.0
98,1040,104,3,5.0
99,1040,107,5,3.0
100,1041,102,5,10.0
101,1042,104,3,5.0
102,1043,102,5,10.0
103,1043,106,2,30.0
104,1043,103,4,15.0
105,1044,104,1,5.0
106,1044,108,5,40.0
107,1045,103,2,15.0
108,1045,106,3,30.0
109,1045,102,2,10.0
110,1045,105,5,50.0
111,1046,101,4,25.0
112,1046,107,1,3.0
113,1046,105,4,50.0
114,1046,104,2,5.0
115,1047,103,1,15.0
116,1047,104,4,5.0
117,1048,104,5,5.0
118,1048,107,5,3.0
119,1048,101,2,25.0
120,1048,106,4,30.0
121,1049,101,1,25.0
122,1049,102,1,10.0
123,1050,102,5,10.0
124,1050,103,5,15.0
125,1051,103,1,15.0
126,1051,105,3,50.0
127,1051,104,2,5.0
128,1052,101,5,25.0
129,1052,102,3,10.0
130,1052,108,3,40.0
131,1053,105,4,50.0
132,1054,101,5,25.0
133,1055,104,1,5.0
134,1055,108,2,40.0
135,1055,103,2,15.0
136,1055,102,3,10.0
137,1056,102,3,10.0
138,1056,107,1,3.0
139,1056,106,3,30.0
140,1056,103,2,15.0
141,1057,106,5,30.0
142,1057,108,1,40.0
143,1057,103,2,15.0
144,1058,101,1,25.0
145,1058,102,2,10.0
146,1058,105,2,50.0
147,1059,106,1,30.0
148,1059,103,1,15.0
149,1059,104,2,5.0
150,1060,104,1,5.0
151,1060,107,1,3.0
152,1060,108,4,40.0
153,1060,101,3,25.0
154,1061,103,4,15.0
155,1061,105,4,50.0
156,1061,102,3,10.0
157,1062,106,1,30.0
158,1062,107,5,3.0
159,1062,102,5,10.0
160,1063,105,1,50.0
161,1063,108,1,40.0
162,1064,106,2,30.0
163,1064,107,4,3.0
164,1064,103,2,15.0
165,1064,101,2,25.0
166,1065,103,3,15.0
167,1066,103,1,15.0
168,1066,108,1,40.0
169,1066,104,1,5.0
170,1066,102,1,10.0
171,1067,108,1,40.0
172,1067,102,1,10.0
173,1067,105,2,50.0
174,1067,107,4,3.0
175,1068,108,4,40.0
176,1068,103,4,15.0
177,1068,107,5,3.0
178,1069,105,5,50.0
179,1069,107,4,3.0
180,1070,108,4,40.0
181,1071,104,1,5.0
182,1071,105,4,50.0
183,1071,103,3,15.0
184,1072,104,2,5.0
185,1073,104,5,5.0
186,1073,106,2,30.0
187,1074,103,1,15.0
188,1074,104,5,5.0
189,1075,105,4,50.0
190,1076,105,1,50.0
191,1076,102,4,10.0
192,1076,106,3,30.0
193,1077,105,2,50.0
194,1077,107,3,3.0
195,1077,108,3,40.0
196,1078,102,2,10.0
197,1078,104,2,5.0
198,1079,103,1,15.0
199,1079,107,1,3.0
200,1079,102,2,10.0
201,1080,106,2,30.0
202,1081,103,5,15.0
203,1082,103,1,15.0
204,1083,106,5,30.0
205,1083,102,2,10.0
206,1084,107,5,3.0
207,1084,105,1,50.0
208,1085,103,1,15.0
209,1085,101,2,25.0
210,1086,105,5,50.0
211,1086,108,5,40.0
212,1086,104,1,5.0
213,1087,104,5,5.0
214,1087,105,1,50.0
215,1087,107,4,3.0
216,1087,108,4,40.0
217,1088,107,1,3.0
218,1088,106,3,30.0
219,1088,105,2,50.0
